num,sf,shift,LM,MW,C,N,P,O,cansmi,envlab,mw,P_oxidation_state,P_valence
Lan3-CMP351,C27H22NO3PS,33.34,CDCl3,471.507241,27,1,1,3,COC(=O)C(P(=O)(c1ccccc1)c1ccccc1)N1c2ccccc2Sc2c1cccc2,C1C1C1O2,471.5180000000002,5,5.0
Lan3-CMP354,C28H24N3PS2,59.3,CDCl3,497.614021,28,3,1,0,S=C1N=C(Cc2ccccc2)N(P(=S)(N1c1ccccc1)c1ccccc1)Cc1ccccc1,C1N1N1S2,497.6290000000002,5,5.0
Lan3-CMP356,C28H25N2O4P,26.8,CDCl3,484.482861,28,2,1,4,CCOC(=O)C1=C(OC(=C(C1c1ccccc1)C#N)N)CP(=O)(c1ccccc1)c1ccccc1,C1C1C1O2,484.4920000000002,5,5.0
Lan3-CMP365,C28H26NO3P,41.32,CDCl3,455.484701,28,1,1,3,OC(P1(=O)O[C@H](c2ccccc2)[C@@H](N[C@@H]1c1ccccc1)c1ccccc1)c1ccccc1,C1C1O1O2,455.49400000000014,5,5.0
Lan3-CMP382,C28H27N2O9P,20.3,CDCl3,566.495740999999,28,2,1,9,CCOC(=O)C(C(P(=O)(Oc1ccccc1)Oc1ccccc1)C(=O)OCC)n1[nH]c(=O)c2c(c1=O)cccc2,C1O1O1O2,566.5030000000003,5,5.0
Lan3-CMP384,C28H27N4OP,40.0,CDCl3,466.513941,28,4,1,1,N#CCCn1nc2c(c1Nc1ccccc1)C(CCC2)P(=O)(c1ccccc1)c1ccccc1,C1C1C1O2,466.52500000000015,5,5.0
Lan3-CMP385,C28H27N4O5P,22.0,CDCl3,530.511540999999,28,4,1,5,CCOP(=O)(Cc1nn2c(n1)c1c(nc2)Oc2c(C1c1ccc(cc1)OC)c1ccccc1cc2)OCC,C1O1O1O2,530.5210000000002,5,5.0
Lan3-CMP403,C28H29ClN3O5PS,23.39,CDCl3,586.038720999999,28,3,1,5,CCOP(=O)(C(c1ccccc1OC)Nc1ccc(cc1)Sc1cnn(c(=O)c1Cl)c1ccccc1)OCC,C1O1O1O2,586.0500000000002,5,5.0
Lan3-CMP412,C28H30NO2PS,38.7,CDCl3,475.582061,28,1,1,2,S=C(C1C(=O)CC(CC1(C)P(=O)(c1ccccc1)c1ccccc1)(C)C)Nc1ccccc1,C1C1C1O2,475.5940000000001,5,5.0
Lan3-CMP413,C28H30NO3P,23.9,CDCl3,459.516461,28,1,1,3,CCOP(=O)(C(c1cccc2c1cccc2)NC(c1ccccc1)c1ccccc1)OCC,C1O1O1O2,459.5260000000002,5,5.0
